"filename","name_orig","name_new"
newz111.rwl,TKB114,auGC
newz111.rwl,TKB115,auGD
newz111.rwl,TKB118,auGE
newz111.rwl,TKB120,auGF
newz111.rwl,TKB121,auGG
newz111.rwl,TKB122,auGH
newz111.rwl,TKB124,auGI
newz111.rwl,TKB125,auGJ
newz111.rwl,TKB128,auGK
newz111.rwl,TKB130,auGL
newz111.rwl,TKB131,auGM
newz111.rwl,TKB132,auGN
newz111.rwl,TKB141,auGO
newz111.rwl,TKB143,auGP
newz111.rwl,TKB139,auGQ
newz111.rwl,TKB138,auGR
newz110.rwl,TKA001,auGS
newz110.rwl,TKA002,auGT
newz110.rwl,TKA003,auGU
newz110.rwl,TKA004,auGV
newz110.rwl,TKA005,auGW
newz110.rwl,TKA006,auGX
newz110.rwl,TKA008,auGY
newz110.rwl,TKA009,auGZ
newz110.rwl,TKA011,auHA
newz110.rwl,TKA013,auHB
newz110.rwl,TKA014B,auHC
newz110.rwl,TKA015,auHD
newz110.rwl,TKA016,auHE
newz110.rwl,TKA017,auHF
newz110.rwl,TKA018,auHG
newz110.rwl,TKA019,auHH
newz110.rwl,TKA021,auHI
newz110.rwl,TKA022,auHJ
newz110.rwl,TKA024,auHK
newz110.rwl,TKA028,auHL
newz110.rwl,TKA029,auHM
newz110.rwl,TKA031,auHN
newz110.rwl,TKA032,auHO
newz110.rwl,TKA033,auHP
newz110.rwl,TKA034,auHQ
newz110.rwl,TKA039,auHR
newz110.rwl,TKA041,auHS
newz110.rwl,TKA042,auHT
newz110.rwl,TKA043,auHU
newz110.rwl,TKA047,auHV
newz110.rwl,TKA049,auHW
newz110.rwl,TKA050,auHX
newz110.rwl,TKA051,auHY
newz110.rwl,TKA054,auHZ
newz110.rwl,TKA063,auIA
newz110.rwl,TKA064,auIB
newz110.rwl,TKA066,auIC
newz109.rwl,COR011,auID
newz109.rwl,COR002,auIE
newz109.rwl,COR003,auIF
newz109.rwl,COR005,auIG
newz109.rwl,COR006,auIH
newz109.rwl,COR008,auII
newz109.rwl,COR009,auIJ
newz109.rwl,WGM017,auIK
newz109.rwl,WGM010,auIL
newz109.rwl,WGM011,auIM
newz109.rwl,WGM012,auIN
newz108.rwl,WBC016,auIO
newz108.rwl,WBP012,auIP
newz108.rwl,WBP013,auIQ
newz108.rwl,WBP028,auIR
newz108.rwl,WBP045,auIS
newz108.rwl,WBR035,auIT
newz108.rwl,WBR040,auIU
newz108.rwl,WBR041,auIV
newz108.rwl,WBR042,auIW
newz108.rwl,WBR102,auIX
newz108.rwl,WBR103,auIY
newz108.rwl,WBR105,auIZ
newz108.rwl,WBR106,auJA
newz108.rwl,WBR108,auJB
newz108.rwl,WBS006,auJC
newz108.rwl,WBS011,auJD
newz108.rwl,WBS020,auJE
newz108.rwl,WBS024,auJF
newz108.rwl,WBS025,auJG
newz108.rwl,WBS026,auJH
newz108.rwl,WBS049,auJI
newz108.rwl,WBS166,auJJ
newz108.rwl,WBS181,auJK
newz108.rwl,WBW001,auJL
newz108.rwl,WBW002,auJM
newz108.rwl,WBW003,auJN
newz108.rwl,WBW005,auJO
newz108.rwl,WBW006,auJP
newz108.rwl,WBW007,auJQ
newz108.rwl,WBW008,auJR
newz108.rwl,WBW009,auJS
newz108.rwl,WBW012,auJT
newz108.rwl,WBW013,auJU
newz108.rwl,WBW014,auJV
newz108.rwl,WBW015,auJW
newz108.rwl,WBW019,auJX
newz108.rwl,WBW020,auJY
newz108.rwl,WBW022,auJZ
newz108.rwl,WBW024,auKA
newz108.rwl,WBW026,auKB
newz108.rwl,WBW027,auKC
newz108.rwl,WBW028,auKD
newz108.rwl,WBW043,auKE
newz108.rwl,WBW044,auKF
newz108.rwl,WBW045,auKG
newz108.rwl,WBW046,auKH
newz107.rwl,SPC001,auKI
newz107.rwl,SPC002,auKJ
newz107.rwl,SPC003,auKK
newz107.rwl,SPC005,auKL
newz107.rwl,SPC006,auKM
newz107.rwl,SPC007,auKN
newz106.rwl,DSP001A,auKO
newz106.rwl,DSP001B,auKP
newz106.rwl,DSP001C,auKQ
newz106.rwl,DSP001D,auKR
newz106.rwl,DSP001E,auKS
newz105.rwl,BIR033,auKT
newz105.rwl,BIR035,auKU
newz105.rwl,BIR038,auKV
newz105.rwl,BIR045,auKW
newz105.rwl,BIR052,auKX
newz105.rwl,BIR057,auKY
newz105.rwl,BIR088,auKZ
newz105.rwl,BIR137,auLA
newz105.rwl,BIR138,auLB
newz105.rwl,BIR153,auLC
newz105.rwl,BIR166,auLD
newz104.rwl,GEO012,auLE
newz104.rwl,GEO024,auLF
newz104.rwl,GEO025,auLG
newz104.rwl,GEO026,auLH
newz104.rwl,GEO033,auLI
newz104.rwl,GEO049,auLJ
newz104.rwl,GEO053,auLK
newz104.rwl,GEO057,auLL
newz104.rwl,GEO059,auLM
newz104.rwl,GEO100,auLN
newz103.rwl,TDR003,auLO
newz103.rwl,TDR006,auLP
newz103.rwl,TDR011,auLQ
newz103.rwl,TDR013,auLR
newz103.rwl,TDR014,auLS
newz103.rwl,TDR021,auLT
newz103.rwl,TDR025,auLU
newz103.rwl,TDR042,auLV
newz103.rwl,TDR043,auLW
newz103.rwl,TDR044,auLX
newz103.rwl,TDR057,auLY
newz103.rwl,TDR060,auLZ
newz103.rwl,TDR065,auMA
newz103.rwl,TDR067,auMB
newz103.rwl,TDR068,auMC
newz103.rwl,TDRUKA,auMD
newz103.rwl,TDR001,auME
newz103.rwl,TDR005,auMF
newz103.rwl,TDR015,auMG
newz103.rwl,TDR023,auMH
newz103.rwl,TDR031,auMI
newz103.rwl,TDR033,auMJ
newz103.rwl,TDR050,auMK
newz103.rwl,TDR058,auML
newz103.rwl,TDR046,auMM
newz103.rwl,TDR032,auMN
newz103.rwl,TDR059,auMO
newz103.rwl,TDR049,auMP
newz103.rwl,TDR074,auMQ
newz102.rwl,OGH010,auMR
newz102.rwl,OGH011,auMS
newz102.rwl,OGH013,auMT
newz102.rwl,OGH014,auMU
newz102.rwl,OGH015,auMV
newz102.rwl,OGH016,auMW
newz102.rwl,OGH017,auMX
newz101.rwl,CRE000,auMY
newz101.rwl,CRE002,auMZ
newz101.rwl,CRE003,auNA
newz101.rwl,CRE004,auNB
newz101.rwl,CRE006,auNC
newz101.rwl,CRE007,auND
newz101.rwl,CRE008,auNE
newz101.rwl,CRE009,auNF
newz101.rwl,CRE010,auNG
newz101.rwl,CRE011,auNH
newz101.rwl,CRE012,auNI
newz101.rwl,CRE013,auNJ
newz101.rwl,CRE014,auNK
newz101.rwl,CRE015,auNL
newz101.rwl,CRE018,auNM
newz101.rwl,CRE020,auNN
newz101.rwl,CRE021,auNO
newz101.rwl,CRE023,auNP
newz101.rwl,CRE025,auNQ
newz101.rwl,CRE026,auNR
newz101.rwl,CRE027,auNS
newz101.rwl,CRE028,auNT
newz101.rwl,CRE029,auNU
newz101.rwl,CRE030,auNV
newz101.rwl,CRE031,auNW
newz101.rwl,CRE032,auNX
newz101.rwl,CRE037,auNY
newz101.rwl,CRE038,auNZ
newz101.rwl,CRE039,auOA
newz101.rwl,CRE042,auOB
newz101.rwl,CRE051,auOC
newz101.rwl,CRE054,auOD
newz101.rwl,CRE055,auOE
newz101.rwl,CRE056,auOF
newz101.rwl,CRE058,auOG
newz101.rwl,CRE063,auOH
newz101.rwl,CRE065,auOI
newz101.rwl,CRE069,auOJ
newz101.rwl,CRE070,auOK
newz101.rwl,CRE071,auOL
newz101.rwl,CRE072,auOM
newz101.rwl,CRE073,auON
newz101.rwl,CRE075,auOO
newz101.rwl,CRE076,auOP
newz101.rwl,CRE077,auOQ
newz101.rwl,CRE078,auOR
newz101.rwl,CRE079,auOS
newz101.rwl,CRE080,auOT
newz101.rwl,CRE081,auOU
newz101.rwl,CRE082,auOV
newz101.rwl,CRE083,auOW
newz101.rwl,CRE084,auOX
newz101.rwl,CRE086,auOY
newz101.rwl,CRE091,auOZ
newz101.rwl,CRE092,auPA
newz101.rwl,CRE095,auPB
newz101.rwl,CRE098,auPC
newz101.rwl,CRE099,auPD
newz101.rwl,CRE103,auPE
